"Отметка времени","Мальчик или девочка?","Как часто тебя били в детстве?","Оцените ваш уровень вегетарианца по 5-ти бальной шкале","Что такое два.ч?","Твоя ориентация?","Погулять вечером после тяжкого рабочего дня, или посычевать дома?","Как часто играешь в игры?","Сериалы?","А книги? ","Вы таки антисемит? ","Какой предмет ближе всего по душе?","Как вы относитесь к аннексии Крыма?","Владимир Путин - ","Как хорошо вы знаете английский?","Было ли раньше лучше? ","А какие жанры фильмов любишь? "
"2019/06/10 2:13:29 PM GMT+5","Мальчик","Не били","1","Ненавижу Абу","Гетеро","Гулять","2","1","1","Я просто боюсь евреев","Физика","Отрицательно","Лутин пох","Нормально","А колбаса какая, колбаса...","Комедия;Фильм ужасов;Фантастика"
"2019/06/10 2:15:49 PM GMT+5","Девочка","Не били","1","Лучшая борда рунета","Гетеро","Гулять","5","5","3","Нет","Физика","Мне всё равно","Политик, лидер и боец","Хорошо","А колбаса какая, колбаса...","Боевик;Детектив;Драма;Комедия;Исторический фильм;Фантастика"
"2019/06/10 2:17:38 PM GMT+5","Девочка","Не били","2","Паблик в вк","Гетеро","Сычевать","4","3","1","Нет","Химия","Отрицательно","Президент","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Драма;Мелодрама;Исторический фильм"
"2019/06/10 2:18:05 PM GMT+5","Девочка","Разве что по делу","2","Паблик в вк","Гетеро","Сычевать","2","4","2","Нет","Иностранные языки","Мне всё равно","Политик, лидер и боец","Нормально","Нет","Боевик;Детектив;Аниме;Драма;Комедия;Мелодрама;Фантастика"
"2019/06/10 2:22:08 PM GMT+5","Мальчик","Разве что по делу","3","Паблик в вк","Альтернативная","Сычевать","3","1","5","Нет","Матеша","Отрицательно","УК...","Хорошо","Нет","Исторический фильм;Фантастика"
"2019/06/10 2:22:10 PM GMT+5","Мальчик","Разве что по делу","3","Паблик в вк","Би","Сычевать","3","5","4","Нет","Химия","Положительно","Политик, лидер и боец","Хорошо","Нет","Комедия;Фильм ужасов;Фантастика"
"2019/06/10 2:23:45 PM GMT+5","Девочка","Разве что по делу","0","Лучшая борда рунета","Би","Сычевать","4","4","5","Нет","Иностранные языки","Мне всё равно","Сказочный","Нормально","А колбаса какая, колбаса...","Детектив;Трагедия;Фильм ужасов"
"2019/06/10 2:24:00 PM GMT+5","Девочка","Не били","1","Паблик в вк","Гетеро","Сычевать","5","2","4","Нет","Литература","Положительно","Политик, лидер и боец","Чуть лучше, чем ничего","Нет","Детектив;Комедия;Мелодрама;Исторический фильм;Фантастика"
"2019/06/10 2:24:08 PM GMT+5","Девочка","Не били","0","Паблик в вк","Гетеро","Сычевать","4","1","3","Я просто боюсь евреев","Литература","Мне всё равно","президент вроде, лол","Оригатоё гайзаймас","А колбаса какая, колбаса...","Боевик;Детектив;Фантастика"
"2019/06/10 2:25:13 PM GMT+5","Мальчик","Разве что по делу","1","Лучшая борда рунета","Гетеро","Гулять","2","2","2","Нет","Матеша","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","Нет","Боевик;Детектив;Аниме;Комедия;Исторический фильм;Трагедия;Фильм ужасов;Фантастика"
"2019/06/10 2:26:29 PM GMT+5","Девочка","Часто","5","Ненавижу Абу","Альтернативная","Сычевать","7","7","7","Я просто боюсь евреев","Матеша","Мне всё равно","Политик, лидер и боец","НЭЙТИВ ИНГЛИШ СПИКЕР","А колбаса какая, колбаса...","Аниме"
"2019/06/10 2:38:11 PM GMT+5","Девочка","Не били","1","Не знаю","Би","Сычевать","3","4","4","Нет","История","Мне всё равно","Воландеморт - Волди - Володя - Владимир - Сам знаешь кто","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик;Детектив;Аниме;Комедия;Исторический фильм;Фильм ужасов;Фантастика"
"2019/06/10 2:38:15 PM GMT+5","Мальчик","Часто","1","Не знаю","Гетеро","Сычевать","5","1","1","Да","Физика","Отрицательно","Хер","Оригатоё гайзаймас","Нет","Боевик;Детектив;Комедия;Исторический фильм;Фантастика"
"2019/06/10 2:40:13 PM GMT+5","Девочка","Разве что по делу","1","Не знаю","Гетеро","Гулять","2","1","2","Нет","Матеша","Мне всё равно","Надоел","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Драма;Комедия;Мелодрама"
"2019/06/10 2:44:03 PM GMT+5","Мальчик","Часто","0","Паблик в вк","Гетеро","Сычевать","3","2","1","Нет","Матеша","Мне всё равно","Окупировал пост призедента ","Чуть лучше, чем ничего","Нет","Боевик;Детектив;Аниме;Комедия;Фантастика"
"2019/06/10 2:45:33 PM GMT+5","Девочка","Разве что по делу","1","Не знаю","Гетеро","Сычевать","3","0","0","Нет","Литература","Мне всё равно","Оскорблять нельзя ","Чуть лучше, чем ничего","Нет","Комедия;Мелодрама;Фильм ужасов"
"2019/06/10 2:47:05 PM GMT+5","Мальчик","Не били","1","Ненавижу Абу","Гетеро","Сычевать","5","1","0","Нет","Иностранные языки","Мне всё равно","Бессмертный тиран","Отлично","Нет","Боевик;Драма;Комедия;Фантастика"
"2019/06/10 2:51:35 PM GMT+5","Девочка","Не били","2","Паблик в вк","Гетеро","Сычевать","2","2","7","Нет","Матеша","Мне всё равно","Нельзя говорить","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Детектив;Комедия;Фильм ужасов"
"2019/06/10 2:54:55 PM GMT+5","Девочка","Разве что по делу","1","Не знаю","Гетеро","Сычевать","1","5","5","Нет","Литература","Мне всё равно","Человек","Чуть лучше, чем ничего","Нет","Детектив;Комедия;Мелодрама;Фантастика"
"2019/06/10 3:01:15 PM GMT+5","Девочка","Разве что по делу","1","Не знаю","Гетеро","Гулять","0","6","5","Нет","Химия","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Детектив;Драма;Комедия;Мелодрама"
"2019/06/10 3:03:36 PM GMT+5","Мальчик","Не били","3","Не знаю","Альтернативная","Сычевать","2","7","5","Нет","Химия","Положительно","Политик, лидер и боец","Нормально","Нет","Детектив;Драма;Фантастика"
"2019/06/10 3:08:07 PM GMT+5","Мальчик","Разве что по делу","1","Паблик в вк","Гетеро","Гулять","3","3","3","Нет","История","Отрицательно","-","Хорошо","Нет","Детектив;Комедия;Исторический фильм"
"2019/06/10 3:12:28 PM GMT+5","Девочка","Не били","2","Паблик в вк","Гетеро","Гулять","3","5","1","Нет","Матеша","Мне всё равно","Президент","Нормально","Нет","Детектив;Аниме;Комедия;Мелодрама;Фантастика"
"2019/06/10 3:36:24 PM GMT+5","Девочка","Разве что по делу","1","Паблик в вк","Би","Сычевать","3","2","5","Я просто боюсь евреев","История","Мне всё равно","Не хочу под статью","Оригатоё гайзаймас","А колбаса какая, колбаса...","Аниме"
"2019/06/10 3:50:34 PM GMT+5","Мальчик","Не били","1","Паблик в вк","Гетеро","Сычевать","2","1","1","Нет","Химия","Положительно","Наш президент страну поднял","Нормально","А колбаса какая, колбаса...","Боевик;Комедия;Фильм ужасов;Фантастика"
"2019/06/10 4:23:33 PM GMT+5","Девочка","Часто","3","Лучшая борда рунета","Гетеро","Сычевать","3","5","4","Нет","История","Мне всё равно","Хороший человек","Оригатоё гайзаймас","Нет","Детектив;Драма;Комедия;Фильм ужасов"
"2019/06/10 4:41:53 PM GMT+5","Мальчик","Разве что по делу","1","Лучшая борда рунета","Гетеро","Гулять","2","4","3","Я просто боюсь евреев","Информатика","Отрицательно","Не очень","Хорошо","Нет","Детектив;Фильм ужасов;Фантастика"
"2019/06/10 4:50:48 PM GMT+5","Мальчик","Разве что по делу","3","Паблик в вк","Гетеро","Сычевать","7","1","3","Нет","История","Отрицательно","Сказочник","Хорошо","Нет","Боевик;Драма;Комедия;Исторический фильм;Трагедия;Фильм ужасов;Фантастика"
"2019/06/10 5:06:24 PM GMT+5","Девочка","Не били","1","Не знаю","Гетеро","Сычевать","0","3","0","Нет","Матеша","Мне всё равно","Молодец","Нормально","А колбаса какая, колбаса...","Комедия;Фильм ужасов"
"2019/06/10 5:07:38 PM GMT+5","Девочка","Не били","2","Не знаю","Гетеро","Сычевать","3","3","7","Нет","Биология","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Драма;Комедия;Фантастика"
"2019/06/10 5:18:51 PM GMT+5","Мальчик","Часто","2","Ненавижу Абу","Гетеро","Гулять","3","2","2","Нет","Информатика","Положительно","Фофан ","Чуть лучше, чем ничего","Нет","Детектив;Комедия;Фильм ужасов;Фантастика"
"2019/06/10 5:27:26 PM GMT+5","Девочка","Разве что по делу","5","Не знаю","Гетеро","Гулять","2","1","4","Нет","Литература","Мне всё равно","Политик, лидер и боец","НЭЙТИВ ИНГЛИШ СПИКЕР","А колбаса какая, колбаса...","Комедия;Фильм ужасов"
"2019/06/10 5:34:24 PM GMT+5","Девочка","Часто","0","Паблик в вк","Альтернативная","Сычевать","1","4","1","Нет","Химия","Мне всё равно","👎","Хорошо","А колбаса какая, колбаса...","Детектив;Драма;Трагедия;Фильм ужасов"
"2019/06/10 5:38:49 PM GMT+5","Девочка","Не били","0","Не знаю","Гетеро","Сычевать","0","5","7","Нет","Литература","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","Нет","Боевик;Детектив;Аниме;Драма;Комедия;Трагедия"
"2019/06/10 5:40:11 PM GMT+5","Девочка","Не били","2","Паблик в вк","Гетеро","Сычевать","1","1","1","Нет","Литература","Положительно","Политик, лидер и боец","Чуть лучше, чем ничего","Нет","Аниме;Драма;Комедия"
"2019/06/10 7:08:36 PM GMT+5","Девочка","Разве что по делу","1","Паблик в вк","Гетеро","Сычевать","4","5","2","Нет","Химия","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик;Детектив;Комедия;Фантастика"
"2019/06/10 7:16:11 PM GMT+5","Девочка","Не били","0","Паблик в вк","Гетеро","Гулять","0","2","2","Я просто боюсь евреев","Иностранные языки","Мне всё равно","Политик, лидер и боец","НЭЙТИВ ИНГЛИШ СПИКЕР","Нет","Боевик;Комедия;Мелодрама;Исторический фильм"
"2019/06/10 7:55:21 PM GMT+5","Мальчик","Не били","1","Не знаю","Гетеро","Сычевать","2","1","1","Нет","Физика","Отрицательно","Сказочный","Оригатоё гайзаймас","Нет","Исторический фильм"
"2019/06/10 8:11:06 PM GMT+5","Девочка","Не били","2","Не знаю","Гетеро","Гулять","0","2","6","Нет","Биология","Мне всё равно","Политик, лидер и боец","НЭЙТИВ ИНГЛИШ СПИКЕР","Нет","Детектив;Драма;Комедия;Мелодрама"
"2019/06/10 8:30:16 PM GMT+5","Мальчик","Не били","2","Не знаю","Гетеро","Сычевать","3","3","3","Нет","Информатика","Положительно","Политик, лидер и боец","Оригатоё гайзаймас","Нет","Боевик;Исторический фильм"
"2019/06/10 8:52:31 PM GMT+5","Девочка","Не били","2","Лучшая борда рунета","Гетеро","Сычевать","3","5","7","Нет","Иностранные языки","Отрицательно","Говно","Отлично","Нет","Детектив;Драма;Комедия;Мелодрама;Фильм ужасов"
"2019/06/10 10:09:17 PM GMT+5","Девочка","Разве что по делу","1","Паблик в вк","Гетеро","Сычевать","0","4","4","Нет","Биология","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Детектив"
"2019/06/10 10:11:03 PM GMT+5","Девочка","Не били","1","Не знаю","Гетеро","Сычевать","1","1","1","Нет","Физика","Мне всё равно","Молодец","Оригатоё гайзаймас","Нет","Боевик;Детектив;Аниме;Драма;Комедия;Мелодрама;Исторический фильм;Трагедия;Фильм ужасов;Фантастика"
"2019/06/10 10:15:25 PM GMT+5","Мальчик","Не били","0","Лучшая борда рунета","Гетеро","Сычевать","4","4","0","Нет","Физика","Мне всё равно","Молодец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Фантастика"
"2019/06/10 10:15:42 PM GMT+5","Девочка","Разве что по делу","1","Паблик в вк","Гетеро","Сычевать","5","6","2","Нет","Литература","Положительно","Политик, лидер и боец","Нормально","Нет","Боевик;Детектив;Драма;Комедия;Мелодрама;Трагедия;Фильм ужасов"
"2019/06/10 10:35:58 PM GMT+5","Мальчик","Разве что по делу","0","Не знаю","Гетеро","Гулять","0","1","1","Нет","Физика","Положительно","Политик, лидер и боец","Чуть лучше, чем ничего","Нет","Боевик;Комедия;Фантастика"
"2019/06/10 11:44:53 PM GMT+5","Мальчик","Разве что по делу","1","Паблик в вк","Гетеро","Гулять","3","5","4","Нет","Информатика","Положительно","Политик, лидер и боец","Чуть лучше, чем ничего","Нет","Аниме;Комедия;Исторический фильм;Фильм ужасов;Фантастика"
"2019/06/11 12:14:44 AM GMT+5","Мальчик","Разве что по делу","1","Паблик в вк","Гетеро","Сычевать","6","1","3","Нет","Биология","Мне всё равно","Политик, лидер и боец","Оригатоё гайзаймас","А колбаса какая, колбаса...","Аниме;Комедия;Фантастика"
"2019/06/11 12:46:33 AM GMT+5","Девочка","Разве что по делу","1","Не знаю","Гетеро","Гулять","1","1","1","Нет","Биология","Мне всё равно","бла бла","Чуть лучше, чем ничего","Нет","Боевик;Детектив;Аниме;Комедия"
"2019/06/11 12:50:21 AM GMT+5","Девочка","Разве что по делу","3","Не знаю","Би","Сычевать","2","5","0","Нет","Иностранные языки","Мне всё равно","Политик, лидер и боец","Хорошо","Нет","Детектив;Драма;Комедия;Трагедия;Фильм ужасов"
"2019/06/11 2:01:23 AM GMT+5","Девочка","Часто","3","Лучшая борда рунета","Гетеро","Гулять","7","1","7","Нет","Иностранные языки","Положительно","Политик, лидер и боец","Нормально","Нет","Боевик;Детектив;Аниме;Комедия;Фильм ужасов;Фантастика"
"2019/06/11 11:11:27 AM GMT+5","Девочка","Разве что по делу","1","Ненавижу Абу","Би","Сычевать","0","4","5","Я просто боюсь евреев","Литература","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Комедия;Мелодрама;Фильм ужасов"
"2019/06/11 11:26:37 AM GMT+5","Мальчик","Не били","1","Лучшая борда рунета","Гетеро","Сычевать","1","0","1","Нет","Информатика","Мне всё равно","Молодец","Хорошо","Нет","Аниме;Трагедия;Фантастика"
"2019/06/11 11:28:24 AM GMT+5","Мальчик","Разве что по делу","3","Лучшая борда рунета","Гетеро","Сычевать","1","0","1","Нет","Физика","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","Нет","Боевик;Аниме;Комедия;Исторический фильм;Фантастика"
"2019/06/11 11:29:58 AM GMT+5","Мальчик","Разве что по делу","3","Лучшая борда рунета","Гетеро","Сычевать","1","0","1","Нет","Физика","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","Нет","Боевик;Аниме;Комедия;Фантастика"
"2019/06/11 12:40:23 PM GMT+5","Девочка","Разве что по делу","4","Лучшая борда рунета","Гетеро","Сычевать","1","5","7","Нет","Литература","Мне всё равно","Политик, лидер и боец","НЭЙТИВ ИНГЛИШ СПИКЕР","Нет","Боевик;Детектив;Фильм ужасов;Фантастика"
"2019/06/11 12:53:58 PM GMT+5","Девочка","Не били","2","Не знаю","Гетеро","Сычевать","1","5","4","Нет","Литература","Мне всё равно","Президент ","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Аниме;Драма;Комедия;Мелодрама;Исторический фильм;Фантастика"
"2019/06/11 4:09:08 PM GMT+5","Мальчик","Не били","0","Ненавижу Абу","Гетеро","Гулять","1","4","3","Нет","Иностранные языки","Мне всё равно","-","Нормально","Нет","Боевик;Детектив;Комедия;Фильм ужасов"
"2019/06/11 4:22:09 PM GMT+5","Девочка","Часто","0","Лучшая борда рунета","Гетеро","Гулять","3","5","2","Нет","Химия","Мне всё равно","Молодец","Нормально","Нет","Детектив;Комедия;Фильм ужасов"
"2019/06/11 4:59:02 PM GMT+5","Девочка","Не били","4","Не знаю","Гетеро","Гулять","0","4","5","Нет","Матеша","Мне всё равно","Царь","Хорошо","А колбаса какая, колбаса...","Драма;Мелодрама;Трагедия;Фильм ужасов;Фантастика"
"2019/06/11 7:51:50 PM GMT+5","Девочка","Не били","1","Не знаю","Би","Сычевать","3","5","7","Нет","Литература","Мне всё равно","Молодец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Детектив;Исторический фильм;Фантастика"
"2019/06/11 8:03:10 PM GMT+5","Мальчик","Не били","0","Не знаю","Гетеро","Гулять","1","1","2","Нет","Физика","Мне всё равно","Отрицательный персонаж ","Нормально","Нет","Драма;Комедия;Фантастика"
"2019/06/11 8:16:22 PM GMT+5","Мальчик","Разве что по делу","2","Паблик в вк","Гетеро","Сычевать","0","7","1","Нет","Физика","Мне всё равно","Молодец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Детектив;Драма;Комедия;Фантастика"
"2019/06/11 9:41:19 PM GMT+5","Девочка","Не били","3","Лучшая борда рунета","Би","Сычевать","1","4","3","Нет","Химия","Отрицательно","Молодец","Оригатоё гайзаймас","А колбаса какая, колбаса...","Детектив;Трагедия;Фильм ужасов"
"2019/06/11 11:03:27 PM GMT+5","Мальчик","Не били","2","Не знаю","Альтернативная","Гулять","4","3","5","Нет","История","Отрицательно","Молодец","Отлично","А колбаса какая, колбаса...","Боевик;Исторический фильм;Фантастика"
"2019/06/12 12:05:35 AM GMT+5","Девочка","Не били","2","Не знаю","Гетеро","Сычевать","1","5","3","Нет","Химия","Мне всё равно","Молодец","НЭЙТИВ ИНГЛИШ СПИКЕР","Нет","Комедия"
"2019/06/12 12:19:30 AM GMT+5","Девочка","Не били","2","Не знаю","Гетеро","Сычевать","0","6","6","Нет","История","Мне всё равно","Фиг знает ","Чуть лучше, чем ничего","Нет","Детектив;Драма;Комедия;Мелодрама;Фантастика"
"2019/06/12 12:49:01 AM GMT+5","Девочка","Разве что по делу","1","Паблик в вк","Би","Сычевать","5","3","0","Нет","Иностранные языки","Мне всё равно","Политик, лидер и боец","Хорошо","А колбаса какая, колбаса...","Боевик;Комедия;Фантастика"
"2019/06/12 1:17:35 AM GMT+5","Девочка","Разве что по делу","2","Не знаю","Гетеро","Гулять","2","5","3","Нет","Литература","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","Нет","Комедия;Мелодрама"
"2019/06/12 2:23:42 PM GMT+5","Девочка","Разве что по делу","1","Не знаю","Гетеро","Сычевать","1","0","1","Нет","Матеша","Мне всё равно","Молодец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Детектив;Фильм ужасов"
"2019/06/12 4:33:40 PM GMT+5","Девочка","Разве что по делу","2","Лучшая борда рунета","Гетеро","Сычевать","3","3","4","Нет","Информатика","Мне всё равно","Молодец","Чуть лучше, чем ничего","Нет","Боевик;Трагедия;Фантастика"
"2019/06/12 5:28:47 PM GMT+5","Девочка","Не били","0","Не знаю","Альтернативная","Сычевать","4","7","0","Я просто боюсь евреев","История","Отрицательно","Молодец, но экономика- пипец","Оригатоё гайзаймас","А колбаса какая, колбаса...","Аниме;Драма;Комедия;Мелодрама;Исторический фильм;Трагедия;Фильм ужасов"
"2019/06/12 6:48:30 PM GMT+5","Мальчик","Не били","2","Не знаю","Гетеро","Сычевать","7","2","2","Нет","Матеша","Отрицательно","1234","Отлично","Нет","Аниме;Мелодрама;Фантастика"
"2019/06/12 7:16:14 PM GMT+5","Девочка","Разве что по делу","0","Паблик в вк","Гетеро","Сычевать","0","5","0","Да","Иностранные языки","Мне всё равно","Политик, лидер и боец","Хорошо","А колбаса какая, колбаса...","Боевик;Драма;Мелодрама"
"2019/06/12 9:47:07 PM GMT+5","Девочка","Не били","0","Лучшая борда рунета","Гетеро","Сычевать","7","2","4","Нет","Литература","Мне всё равно","Гавно","Чуть лучше, чем ничего","Нет","Боевик;Драма;Комедия;Исторический фильм;Фантастика"
"2019/06/12 11:10:24 PM GMT+5","Девочка","Разве что по делу","1","Не знаю","Гетеро","Сычевать","1","7","7","Нет","Литература","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","Нет","Детектив;Драма;Мелодрама;Исторический фильм;Фантастика"
"2019/06/13 4:24:16 AM GMT+5","Девочка","Разве что по делу","1","Паблик в вк","Гетеро","Сычевать","4","7","7","Нет","Литература","Мне всё равно","х а","Хорошо","Нет","Аниме;Драма;Комедия;Мелодрама;Исторический фильм;Трагедия;Фильм ужасов"
"2019/06/13 3:18:57 PM GMT+5","Девочка","Разве что по делу","0","Не знаю","Гетеро","Гулять","6","0","6","Нет","Литература","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","Нет","Боевик;Комедия;Фильм ужасов;Фантастика"
"2019/06/13 6:28:08 PM GMT+5","Девочка","Не били","2","Паблик в вк","Альтернативная","Сычевать","2","5","1","Нет","Матеша","Отрицательно","Политик, лидер и боец","Чуть лучше, чем ничего","Нет","Боевик;Детектив;Аниме;Фантастика"
"2019/06/14 12:55:23 AM GMT+5","Мальчик","Не били","1","Лучшая борда рунета","Гетеро","Сычевать","2","0","2","Нет","Матеша","Мне всё равно","президент.","Хорошо","Нет","Боевик;Детектив;Драма;Исторический фильм;Фантастика"
"2019/06/14 8:51:35 AM GMT+5","Мальчик","Часто","0","Лучшая борда рунета","Би","Сычевать","7","0","4","Я просто боюсь евреев","Информатика","Мне всё равно","Политик, лидер и боец","НЭЙТИВ ИНГЛИШ СПИКЕР","Нет","Фантастика"
"2019/06/14 11:09:44 AM GMT+5","Девочка","Не били","1","Не знаю","Би","Сычевать","2","6","0","Нет","Иностранные языки","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","Нет","Детектив;Аниме;Драма;Комедия;Мелодрама;Фильм ужасов;Фантастика"
"2019/06/14 8:44:01 PM GMT+5","Девочка","Не били","5","Паблик в вк","Гетеро","Гулять","4","2","2","Нет","Литература","Положительно","Молодец","Чуть лучше, чем ничего","Нет","Детектив;Драма;Комедия;Мелодрама;Исторический фильм;Трагедия;Фантастика"
"2019/06/15 4:01:14 PM GMT+5","Девочка","Не били","1","Лучшая борда рунета","Гетеро","Сычевать","0","4","3","Нет","Химия","Мне всё равно","Политик, лидер и боец","НЭЙТИВ ИНГЛИШ СПИКЕР","А колбаса какая, колбаса...","Драма;Комедия;Мелодрама;Исторический фильм;Фантастика"
"2019/06/17 12:33:59 AM GMT+5","Мальчик","Разве что по делу","1","Лучшая борда рунета","Гетеро","Сычевать","3","2","4","Нет","Литература","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик;Детектив;Аниме;Комедия;Фантастика"
"2019/06/17 11:35:51 AM GMT+5","Мальчик","Разве что по делу","2","Паблик в вк","Гетеро","Гулять","0","2","4","Нет","Матеша","Мне всё равно","Хих","Нормально","А колбаса какая, колбаса...","Детектив;Комедия;Мелодрама;Фантастика"
"2019/06/21 10:30:18 PM GMT+5","Девочка","Не били","2","Паблик в вк","Гетеро","Сычевать","4","6","6","Нет","Иностранные языки","Отрицательно","*****","Нормально","Нет","Детектив;Мелодрама;Исторический фильм"
