"Отметка времени","Мальчик или девочка?","Как часто тебя били в детстве?","Оцените ваш уровень вегетарианца по 5-ти бальной шкале","Что такое два.ч?","Твоя ориентация?","Погулять вечером после тяжкого рабочего дня, или посычевать дома?","Как часто играешь в игры?","Сериалы?","А книги? ","Вы таки антисемит? ","Какой предмет ближе всего по душе?","Как вы относитесь к аннексии Крыма?","Владимир Путин - ","Как хорошо вы знаете английский?","Было ли раньше лучше? ","А какие жанры фильмов любишь? "
"2019/06/09 11:52:20 PM GMT+5","Девочка","Не били","2","Ненавижу Абу","Гетеро","Сычевать","3","5","1","Нет","Иностранные языки","Отрицательно","Политик, лидер и боец","Отлично","Нет","Детектив;Драма;Комедия;Мелодрама;Трагедия"
"2019/06/09 11:53:23 PM GMT+5","Девочка","Не били","4","Паблик в вк","Гетеро","Сычевать","0","3","6","Нет","Литература","Мне всё равно","Молодец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Детектив;Драма;Комедия;Мелодрама;Исторический фильм;Фильм ужасов;Фантастика"
"2019/06/09 11:54:36 PM GMT+5","Мальчик","Разве что по делу","0","Лучшая борда рунета","Гетеро","Сычевать","7","0","0","Да","Матеша","Положительно","leatherman","Отлично","Нет","Комедия;Фантастика"
"2019/06/09 11:57:22 PM GMT+5","Мальчик","Разве что по делу","0","Паблик в вк","Альтернативная","Сычевать","0","3","1","Я просто боюсь евреев","Информатика","Мне всё равно","Хз кто такой","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик;Детектив;Драма;Комедия;Мелодрама;Трагедия;Фильм ужасов;Фантастика"
"2019/06/09 11:57:38 PM GMT+5","Мальчик","Не били","1","Лучшая борда рунета","Гетеро","Сычевать","4","3","1","Нет","Информатика","Мне всё равно","Молодец","Чуть лучше, чем ничего","Нет","Боевик;Детектив;Комедия;Трагедия;Фильм ужасов;Фантастика"
"2019/06/09 11:59:58 PM GMT+5","Мальчик","Не били","1","Не знаю","Гетеро","Сычевать","5","0","0","Я просто боюсь евреев","Информатика","Мне всё равно","Политик, лидер и боец","Оригатоё гайзаймас","А колбаса какая, колбаса...","Аниме"
"2019/06/10 12:00:04 AM GMT+5","Девочка","Не били","1","Паблик в вк","Гетеро","Сычевать","0","3","5","Нет","История","Мне всё равно","Политик, лидер и боец","Нормально","Нет","Детектив;Драма;Комедия;Мелодрама;Исторический фильм;Трагедия"
"2019/06/10 12:00:16 AM GMT+5","Мальчик","Не били","1","Лучшая борда рунета","Гетеро","Сычевать","7","3","2","Нет","Информатика","Мне всё равно","Политие, лидер, огурец","Оригатоё гайзаймас","Нет","Боевик;Аниме;Комедия;Фантастика"
"2019/06/10 12:00:21 AM GMT+5","Мальчик","Не били","2","Лучшая борда рунета","Альтернативная","Сычевать","7","5","0","Да","Информатика","Мне всё равно","Молодец","Оригатоё гайзаймас","А колбаса какая, колбаса...","Аниме"
"2019/06/10 12:00:51 AM GMT+5","Мальчик","Разве что по делу","1","Лучшая борда рунета","Гетеро","Сычевать","2","0","2","Нет","Иностранные языки","Мне всё равно","Значит так. Путин, в первую очередь, президент РФ.","Отлично","Нет","Боевик;Детектив;Аниме;Драма;Комедия;Мелодрама;Исторический фильм;Трагедия;Фильм ужасов;Фантастика"
"2019/06/10 12:01:37 AM GMT+5","Мальчик","Не били","3","Ненавижу Абу","Гетеро","Гулять","5","0","1","Нет","Матеша","Отрицательно","Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Комедия"
"2019/06/10 12:04:42 AM GMT+5","Мальчик","Разве что по делу","1","Не знаю","Гетеро","Сычевать","7","2","7","Нет","История","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Фантастика"
"2019/06/10 12:05:28 AM GMT+5","Мальчик","Не били","0","Паблик в вк","Гетеро","Сычевать","3","1","1","Нет","История","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Детектив;Комедия"
"2019/06/10 12:08:16 AM GMT+5","Девочка","Разве что по делу","3","Паблик в вк","Гетеро","Гулять","0","2","1","Нет","Иностранные языки","Положительно","Политик, лидер и боец","Нормально","Нет","Детектив;Драма;Комедия;Исторический фильм;Трагедия"
"2019/06/10 12:10:48 AM GMT+5","Мальчик","Разве что по делу","4","Лучшая борда рунета","Гетеро","Гулять","7","1","4","Нет","Химия","Мне всё равно","Политик, лидер и боец","Хорошо","Нет","Драма;Комедия;Фантастика"
"2019/06/10 12:11:34 AM GMT+5","Мальчик","Не били","1","Паблик в вк","Гетеро","Сычевать","2","7","4","Нет","Физика","Мне всё равно","Просто другое","Нормально","Нет","Боевик;Драма;Комедия;Фантастика"
"2019/06/10 12:13:20 AM GMT+5","Мальчик","Не били","0","Лучшая борда рунета","Гетеро","Сычевать","3","5","0","Нет","Информатика","Мне всё равно","Политик, лидер и боец","Нормально","А колбаса какая, колбаса...","Боевик;Детектив;Драма;Комедия;Трагедия;Фантастика"
"2019/06/10 12:14:34 AM GMT+5","Мальчик","Разве что по делу","3","Лучшая борда рунета","Гетеро","Сычевать","5","7","2","Нет","Литература","Мне всё равно","Владимирович","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик;Детектив;Аниме;Драма;Комедия;Мелодрама;Трагедия;Фильм ужасов;Фантастика"
"2019/06/10 12:17:24 AM GMT+5","Девочка","Разве что по делу","2","Паблик в вк","Гетеро","Сычевать","0","5","3","Нет","Иностранные языки","Положительно","Политик, лидер и боец","Отлично","Нет","Детектив;Драма;Комедия;Мелодрама;Фильм ужасов;Фантастика"
"2019/06/10 12:20:01 AM GMT+5","Мальчик","Не били","1","Лучшая борда рунета","Гетеро","Сычевать","5","2","0","Нет","Информатика","Мне всё равно","Хуй","Оригатоё гайзаймас","А колбаса какая, колбаса...","Аниме;Драма;Фантастика"
"2019/06/10 12:37:22 AM GMT+5","Мальчик","Не били","0","Ненавижу Абу","Би","Гулять","7","5","7","Нет","Литература","Отрицательно","Хуйло","Хорошо","Нет","Детектив;Аниме;Драма;Комедия;Исторический фильм;Фильм ужасов;Фантастика"
"2019/06/10 12:40:43 AM GMT+5","Девочка","Не били","5","Лучшая борда рунета","Альтернативная","Гулять","0","4","7","Я просто боюсь евреев","Физика","Мне всё равно","Красное Солнышко","Чуть лучше, чем ничего","Нет","Боевик"
"2019/06/10 12:45:41 AM GMT+5","Девочка","Разве что по делу","0","Паблик в вк","Гетеро","Сычевать","2","5","5","Нет","Матеша","Мне всё равно","Бессмертный ","Хорошо","Нет","Детектив;Аниме;Драма;Комедия"
"2019/06/10 12:47:11 AM GMT+5","Девочка","Не били","3","Не знаю","Гетеро","Гулять","0","2","5","Нет","Биология","Мне всё равно","-","Хорошо","Нет","Боевик;Детектив;Драма;Комедия;Мелодрама"
"2019/06/10 12:47:21 AM GMT+5","Девочка","Не били","3","Не знаю","Гетеро","Гулять","0","2","5","Нет","Биология","Мне всё равно","-","Хорошо","Нет","Боевик;Детектив;Драма;Комедия;Мелодрама"
"2019/06/10 12:48:03 AM GMT+5","Девочка","Разве что по делу","3","Лучшая борда рунета","Гетеро","Гулять","5","7","7","Нет","Матеша","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","Нет","Аниме;Комедия;Мелодрама;Фантастика"
"2019/06/10 12:49:31 AM GMT+5","Девочка","Разве что по делу","5","Лучшая борда рунета","Би","Гулять","0","4","4","Нет","Физика","Мне всё равно","Молодец","Чуть лучше, чем ничего","Нет","Боевик"
"2019/06/10 12:53:52 AM GMT+5","Девочка","Не били","0","Паблик в вк","Гетеро","Сычевать","2","7","3","Я просто боюсь евреев","Матеша","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик;Детектив;Драма;Комедия;Мелодрама;Фильм ужасов;Фантастика"
"2019/06/10 1:00:24 AM GMT+5","Девочка","Часто","2","Паблик в вк","Гетеро","Сычевать","1","3","1","Нет","Биология","Мне всё равно","Не молодец","Нормально","Нет","Детектив;Драма;Мелодрама;Трагедия"
